code_id,description_EN,description_PL
33,Regular insulin dose,Dawka insuliny regularnej
34,NPH insulin dose,Dawka insuliny NPH
35,UltraLente insulin dose,Dawka insuliny UltraLente
48,Unspecified blood glucose measurement,Nieokreœlony pomiar zawartoœci glukozy we krwi
56,Unspecified blood glucose measurement,Nieokreœlony pomiar zawartoœci glukozy we krwi
57,Unspecified blood glucose measurement,Nieokreœlony pomiar zawartoœci glukozy we krwi
58,Pre-breakfast blood glucose measurement,Pomiar zawartoœci glukozy we krwi przed œniadaniem
59,Post-breakfast blood glucose measurement,Pomiar zawartoœci glukozy we krwi po œniadaniu
60,Pre-lunch blood glucose measurement,Pomiar zawartoœci glukozy we krwi przed obiadem
61,Post-lunch blood glucose measurement,Pomiar zawartoœci glukozy we krwi po obiedzie
62,Pre-supper blood glucose measurement,Pomiar zawartoœci glukozy we krwi przed kolacj¹
63,Post-supper blood glucose measurement,Pomiar zawartoœci glukozy we krwi po kolacji
64,Pre-snack blood glucose measurement,Pomiar zawartoœci glukozy we krwi przed przek¹sk¹
65,Hypoglycemic symptoms,Objawy hipoglikemii
66,Typical meal ingestion,Spo¿ycie typowego posi³ku
67,More-than-usual meal ingestion,Spo¿ycie posi³ku wiêkszego ni¿ zazwyczaj
68,Less-than-usual meal ingestion,Spo¿ycie posi³ku mniejszego ni¿ zazwyczaj
69,Typical exercise activity,Typowa aktywnoœæ sportowa
70,More-than-usual exercise activity,Aktywnoœæ sportowa wiêksza ni¿ zazwyczaj
71,Less-than-usual exercise activity,Aktywnoœæ sportowa mniejsza ni¿ zazwyczaj
72,Unspecified special event ,Nieokreœlone specjalne wydarzenie
36,Unspecified special event ,Nieokreœlone specjalne wydarzenie
